time/ms;Fluo/V;P700 deltaI/I x10³;
-199.8000;0.5364;1.3159;
-199.5000;0.5381;1.3135;
-199.2000;0.5372;1.3135;
-198.9000;0.5372;1.3182;
-198.6000;0.5413;1.3301;
-198.3000;0.5372;1.3230;
-198.0000;0.5381;1.3230;
-197.7000;0.5364;1.3206;
-197.4000;0.5364;1.3301;
-197.1000;0.5372;1.3254;
-196.8000;0.5364;1.3301;
-196.5000;0.5340;1.3301;
-196.2000;0.5372;1.3372;
-195.9000;0.5372;1.3277;
-195.6000;0.5348;1.3301;
-195.3000;0.5413;1.3444;
-195.0000;0.5372;1.3349;
-194.7000;0.5478;1.3681;
-194.4000;0.5356;1.3396;
-194.1000;0.5356;1.3372;
-193.8000;0.5356;1.3420;
-193.5000;0.5381;1.3467;
-193.2000;0.5364;1.3420;
-192.9000;0.5372;1.3396;
-192.6000;0.5381;1.3444;
-192.3000;0.5389;1.3444;
-192.0000;0.5364;1.3396;
-191.7000;0.5356;1.3372;
-191.4000;0.5364;1.3325;
-191.1000;0.5381;1.3420;
-190.8000;0.5356;1.3301;
-190.5000;0.5348;1.3349;
-190.2000;0.5348;1.3230;
-189.9000;0.5364;1.3254;
-189.6000;0.5364;1.3230;
-189.3000;0.5348;1.3182;
-189.0000;0.5356;1.3182;
-188.7000;0.5340;1.3182;
-188.4000;0.5364;1.3135;
-188.1000;0.5356;1.3064;
-187.8000;0.5372;1.3135;
-187.5000;0.5372;1.3135;
-187.2000;0.5364;1.3159;
-186.9000;0.5364;1.3111;
-186.6000;0.5356;1.3135;
-186.3000;0.5356;1.3087;
-186.0000;0.5356;1.3087;
-185.7000;0.5332;1.2945;
-185.4000;0.5356;1.3016;
-185.1000;0.5356;1.3087;
-184.8000;0.5372;1.3159;
-184.5000;0.5372;1.3230;
-184.2000;0.5356;1.3206;
-183.9000;0.5356;1.3159;
-183.6000;0.5348;1.3135;
-183.3000;0.5372;1.3230;
-183.0000;0.5364;1.3159;
-182.7000;0.5381;1.3230;
-182.4000;0.5381;1.3182;
-182.1000;0.5364;1.3206;
-181.8000;0.5397;1.3277;
-181.5000;0.5356;1.3135;
-181.2000;0.5372;1.3064;
-180.9000;0.5348;1.3016;
-180.6000;0.5405;1.3182;
-180.3000;0.5364;1.3087;
-180.0000;0.5348;1.3135;
-179.7000;0.5372;1.3206;
-179.4000;0.5381;1.3135;
-179.1000;0.5372;1.3182;
-178.8000;0.5348;1.3135;
-178.5000;0.5324;1.2945;
-178.2000;0.5381;1.2992;
-177.9000;0.5364;1.3087;
-177.6000;0.5356;1.3111;
-177.3000;0.5348;1.3064;
-177.0000;0.5372;1.3087;
-176.7000;0.5348;1.3040;
-176.4000;0.5340;1.3016;
-176.1000;0.5511;1.3396;
-175.8000;0.5348;1.3040;
-175.5000;0.5413;1.3159;
-175.2000;0.5364;1.2992;
-174.9000;0.5356;1.3040;
-174.6000;0.5340;1.2992;
-174.3000;0.5372;1.3111;
-174.0000;0.5348;1.3135;
-173.7000;0.5421;1.3372;
-173.4000;0.5348;1.3254;
-173.1000;0.5356;1.3230;
-172.8000;0.5438;1.3372;
-172.5000;0.5291;1.2992;
-172.2000;0.5372;1.3182;
-171.9000;0.5364;1.3135;
-171.6000;0.5356;1.3040;
-171.3000;0.5381;1.3182;
-171.0000;0.5381;1.3230;
-170.7000;0.5364;1.3230;
-170.4000;0.5381;1.3277;
-170.1000;0.5364;1.3254;
-169.8000;0.5348;1.3182;
-169.5000;0.5364;1.3206;
-169.2000;0.5372;1.3182;
-168.9000;0.5364;1.3182;
-168.6000;0.5372;1.3182;
-168.3000;0.5372;1.3159;
-168.0000;0.5348;1.3135;
-167.7000;0.5348;1.3159;
-167.4000;0.5348;1.3159;
-167.1000;0.5364;1.3159;
-166.8000;0.5372;1.3135;
-166.5000;0.5372;1.3040;
-166.2000;0.5356;1.2992;
-165.9000;0.5372;1.2992;
-165.6000;0.5372;1.2897;
-165.3000;0.5356;1.2945;
-165.0000;0.5356;1.2969;
-164.7000;0.5356;1.3016;
-164.4000;0.5356;1.3064;
-164.1000;0.5381;1.3182;
-163.8000;0.5348;1.3111;
-163.5000;0.5372;1.3087;
-163.2000;0.5454;1.3325;
-162.9000;0.5364;1.3111;
-162.6000;0.5348;1.3182;
-162.3000;0.5372;1.3206;
-162.0000;0.5364;1.3230;
-161.7000;0.5364;1.3206;
-161.4000;0.5356;1.3230;
-161.1000;0.5381;1.3277;
-160.8000;0.5364;1.3206;
-160.5000;0.5372;1.3159;
-160.2000;0.5348;1.3111;
-159.9000;0.5348;1.3111;
-159.6000;0.5389;1.3230;
-159.3000;0.5381;1.3206;
-159.0000;0.5348;1.3135;
-158.7000;0.5267;1.2945;
-158.4000;0.5372;1.3135;
-158.1000;0.5356;1.3159;
-157.8000;0.5348;1.3135;
-157.5000;0.5364;1.3182;
-157.2000;0.5340;1.3087;
-156.9000;0.5372;1.3135;
-156.6000;0.5364;1.3087;
-156.3000;0.5348;1.2992;
-156.0000;0.5356;1.3111;
-155.7000;0.5381;1.3182;
-155.4000;0.5364;1.3182;
-155.1000;0.5381;1.3325;
-154.8000;0.5364;1.3325;
-154.5000;0.5364;1.3372;
-154.2000;0.5381;1.3420;
-153.9000;0.5381;1.3325;
-153.6000;0.5348;1.3254;
-153.3000;0.5364;1.3349;
-153.0000;0.5381;1.3444;
-152.7000;0.5356;1.3349;
-152.4000;0.5364;1.3349;
-152.1000;0.5356;1.3254;
-151.8000;0.5348;1.3182;
-151.5000;0.5364;1.3254;
-151.2000;0.5372;1.3254;
-150.9000;0.5364;1.3182;
-150.6000;0.5332;1.3016;
-150.3000;0.5372;1.3087;
-150.0000;0.5348;1.3111;
-149.7000;0.5364;1.3040;
-149.4000;0.5340;1.3040;
-149.1000;0.5364;1.3064;
-148.8000;0.5348;1.2945;
-148.5000;0.5372;1.3040;
-148.2000;0.5372;1.3064;
-147.9000;0.5372;1.3087;
-147.6000;0.5332;1.2969;
-147.3000;0.5381;1.2992;
-147.0000;0.5356;1.2945;
-146.7000;0.5275;1.2731;
-146.4000;0.5364;1.3016;
-146.1000;0.5372;1.3064;
-145.8000;0.5356;1.3040;
-145.5000;0.5405;1.3206;
-145.2000;0.5364;1.3159;
-144.9000;0.5356;1.3064;
-144.6000;0.5340;1.3016;
-144.3000;0.5372;1.3087;
-144.0000;0.5381;1.3135;
-143.7000;0.5372;1.3159;
-143.4000;0.5364;1.3064;
-143.1000;0.5372;1.3064;
-142.8000;0.5372;1.3040;
-142.5000;0.5364;1.3064;
-142.2000;0.5364;1.3016;
-141.9000;0.5364;1.3016;
-141.6000;0.5381;1.3064;
-141.3000;0.5348;1.3111;
-141.0000;0.5364;1.3277;
-140.7000;0.5364;1.3277;
-140.4000;0.5299;1.3087;
-140.1000;0.5348;1.3277;
-139.8000;0.5348;1.3206;
-139.5000;0.5348;1.3111;
-139.2000;0.5356;1.3135;
-138.9000;0.5381;1.3230;
-138.6000;0.5372;1.3135;
-138.3000;0.5405;1.3182;
-138.0000;0.5381;1.3182;
-137.7000;0.5348;1.3182;
-137.4000;0.5397;1.3301;
-137.1000;0.5364;1.3277;
-136.8000;0.5372;1.3277;
-136.5000;0.5348;1.3182;
-136.2000;0.5372;1.3254;
-135.9000;0.5356;1.3230;
-135.6000;0.5381;1.3349;
-135.3000;0.5381;1.3301;
-135.0000;0.5364;1.3182;
-134.7000;0.5364;1.3206;
-134.4000;0.5340;1.3135;
-134.1000;0.5364;1.3254;
-133.8000;0.5372;1.3349;
-133.5000;0.5364;1.3301;
-133.2000;0.5348;1.3277;
-132.9000;0.5364;1.3301;
-132.6000;0.5413;1.3372;
-132.3000;0.5405;1.3301;
-132.0000;0.5364;1.3159;
-131.7000;0.5364;1.3087;
-131.4000;0.5364;1.3111;
-131.1000;0.5372;1.3087;
-130.8000;0.5356;1.3064;
-130.5000;0.5356;1.3040;
-130.2000;0.5389;1.3135;
-129.9000;0.5324;1.2969;
-129.6000;0.5381;1.3064;
-129.3000;0.5356;1.2921;
-129.0000;0.5372;1.3016;
-128.7000;0.5381;1.2992;
-128.4000;0.5364;1.2945;
-128.1000;0.5381;1.2945;
-127.8000;0.5372;1.2969;
-127.5000;0.5372;1.2969;
-127.2000;0.5356;1.2969;
-126.9000;0.5348;1.2921;
-126.6000;0.5242;1.2707;
-126.3000;0.5340;1.3040;
-126.0000;0.5348;1.3135;
-125.7000;0.5356;1.3135;
-125.4000;0.5364;1.3135;
-125.1000;0.5372;1.3087;
-124.8000;0.5364;1.3087;
-124.5000;0.5340;1.2921;
-124.2000;0.5356;1.2992;
-123.9000;0.5340;1.2921;
-123.6000;0.5372;1.3087;
-123.3000;0.5372;1.3040;
-123.0000;0.5364;1.3016;
-122.7000;0.5356;1.3040;
-122.4000;0.5381;1.3182;
-122.1000;0.5446;1.3325;
-121.8000;0.5356;1.3135;
-121.5000;0.5389;1.3301;
-121.2000;0.5372;1.3301;
-120.9000;0.5348;1.3230;
-120.6000;0.5340;1.3206;
-120.3000;0.5364;1.3206;
-120.0000;0.5364;1.3135;
-119.7000;0.5372;1.3135;
-119.4000;0.5348;1.3016;
-119.1000;0.5348;1.3064;
-118.8000;0.5364;1.3230;
-118.5000;0.5372;1.3206;
-118.2000;0.5348;1.3182;
-117.9000;0.5364;1.3230;
-117.6000;0.5356;1.3111;
-117.3000;0.5462;1.3467;
-117.0000;0.5356;1.3064;
-116.7000;0.5372;1.2992;
-116.4000;0.5356;1.2945;
-116.1000;0.5275;1.2802;
-115.8000;0.5356;1.2992;
-115.5000;0.5356;1.2945;
-115.2000;0.5332;1.2874;
-114.9000;0.5372;1.2992;
-114.6000;0.5372;1.2992;
-114.3000;0.5486;1.3277;
-114.0000;0.5356;1.2945;
-113.7000;0.5356;1.3016;
-113.4000;0.5356;1.3040;
-113.1000;0.5356;1.3087;
-112.8000;0.5348;1.3064;
-112.5000;0.5364;1.3087;
-112.2000;0.5356;1.3135;
-111.9000;0.5372;1.3111;
-111.6000;0.5372;1.3159;
-111.3000;0.5381;1.3135;
-111.0000;0.5372;1.3135;
-110.7000;0.5372;1.3087;
-110.4000;0.5356;1.3064;
-110.1000;0.5364;1.3064;
-109.8000;0.5372;1.3040;
-109.5000;0.5421;1.3111;
-109.2000;0.5372;1.2945;
-108.9000;0.5364;1.2921;
-108.6000;0.5389;1.3087;
-108.3000;0.5348;1.2992;
-108.0000;0.5356;1.2921;
-107.7000;0.5356;1.2969;
-107.4000;0.5356;1.2897;
-107.1000;0.5372;1.2874;
-106.8000;0.5299;1.2707;
-106.5000;0.5364;1.2897;
-106.2000;0.5372;1.2921;
-105.9000;0.5364;1.2897;
-105.6000;0.5340;1.2850;
-105.3000;0.5364;1.3064;
-105.0000;0.5364;1.3135;
-104.7000;0.5356;1.3111;
-104.4000;0.5364;1.3087;
-104.1000;0.5364;1.3087;
