"Date";"Time";"Action";"ID";"Name";"Temp";"PAR";"F(I)/Fo calc";"F(I)";"Fo,Fo'";"Fm,Fm'";"FMTm";"F";"Y(II)";"Y(4S)";"k/ocs";"ETR(II)";"Y(NO)";"Y(NPQ)";"NPQ";"qN";"qP";"qL";"F/Fm";"Fm'/Fm";"P700ox";"P700m,P700m'";"Y(I)";"Y(ND)";"Y(NA)";"ETR(I)";
15.11.23;08:41:12;New Report;NR;MR1;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.11.23;09:17:18;MC-Start;MCB;MC1;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.11.23;09:17:18;Manual;SK;S_231115_091718; 0.0;0;;;;;;;;;;;;;;;;;;;;;;;;;
15.11.23;09:18:20;MC-Stop;MCE;MC1;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.11.23;09:18:36;MC-Start;MCB;MC2;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.11.23;09:18:36;Manual;SK;S_231115_091836; 0.0;0;;;;;;;;;;;;;;;;;;;;;;;;;
15.11.23;09:19:29;MC-Stop;MCE;MC2;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.11.23;09:19:33;P700-Cal.;SK;S_231115_091933; 0.0;0;;;;;;;;;;;;;;;;;;;;;;;;;
15.11.23;09:20:06;LC-Start;LCB;LC1;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.11.23;09:20:06;Manual;SK;S_231115_092006; 0.0;0;;;;;;;;;;;;;;;;;;;;;;;;;
15.11.23;09:20:07;Fo-Det.;Fo;; 0.0;0;;0.0000;0.1453;;;;;;;;;;;;;;;;;;;;;;
15.11.23;09:20:08;Fm-Det.;SP;F_231115_092008_0; 0.0;0;;0.0000;0.1453;0.1631;;0.1493;0.109;;;0.000;0.915;0.000;0.000;0.000;0.777;0.756;0.915;1.000;0.005;0.057;;;;;
15.11.23;09:20:16;Pm.-Det.;SP;F_231115_092016_0; 0.0;26;;0.0000;0.1435;0.1609;;0.1513;0.060;;;0.653;0.927;0.013;0.014;0.025;0.555;0.526;0.927;0.986;0.006;0.060;0.899;0.101;0.000;9.813;
15.11.23;09:20:30;P.+F. SP;SP;F_231115_092030_0; 0.0;26;;0.0000;0.1431;0.1604;;0.1503;0.063;;;0.683;0.922;0.016;0.017;0.031;0.582;0.554;0.922;0.983;0.001;0.055;0.886;0.023;0.091;9.677;
15.11.23;09:20:40;P.+F. SP;SP;F_231115_092040_0; 0.0;36;;0.0000;0.1428;0.1599;;0.1509;0.056;;;0.853;0.925;0.018;0.020;0.037;0.527;0.498;0.925;0.980;0.004;0.054;0.833;0.060;0.107;12.601;
15.11.23;09:20:50;P.+F. SP;SP;F_231115_092050_0; 0.0;48;;0.0000;0.1424;0.1595;;0.1511;0.053;;;1.058;0.927;0.021;0.023;0.041;0.491;0.463;0.927;0.978;0.004;0.054;0.826;0.065;0.108;16.658;
15.11.23;09:21:00;P.+F. SP;SP;F_231115_092100_0; 0.0;60;;0.0000;0.1419;0.1589;;0.1514;0.047;;;1.194;0.928;0.025;0.026;0.048;0.445;0.417;0.928;0.974;0.002;0.055;0.886;0.030;0.084;22.328;
15.11.23;09:21:10;P.+F. SP;SP;F_231115_092110_0; 0.0;105;;0.0000;0.1418;0.1587;;0.1530;0.036;;;1.578;0.938;0.026;0.027;0.050;0.336;0.311;0.938;0.973;0.008;0.052;0.730;0.126;0.144;32.180;
15.11.23;09:21:20;P.+F. SP;SP;F_231115_092120_0; 0.0;162;;0.0000;0.1418;0.1586;;0.1542;0.028;;;1.921;0.945;0.026;0.028;0.051;0.265;0.244;0.945;0.973;0.010;0.050;0.664;0.164;0.172;45.154;
15.11.23;09:21:30;P.+F. SP;SP;F_231115_092130_0; 0.0;199;;0.0000;0.1421;0.1591;;0.1551;0.025;;;2.075;0.951;0.024;0.025;0.046;0.233;0.213;0.951;0.975;0.015;0.049;0.572;0.243;0.185;47.791;
15.11.23;09:21:40;P.+F. SP;SP;F_231115_092140_0; 0.0;290;;0.0000;0.1418;0.1587;;0.1555;0.020;;;2.463;0.953;0.026;0.028;0.050;0.190;0.173;0.953;0.973;0.006;0.052;0.759;0.099;0.143;92.400;
15.11.23;09:21:50;P.+F. SP;SP;F_231115_092150_0; 0.0;410;;0.0000;0.1418;0.1586;;0.1561;0.016;;;2.786;0.957;0.027;0.028;0.051;0.152;0.138;0.957;0.973;0.021;0.065;0.733;0.347;-0.080;126.214;
15.11.23;09:22:00;P.+F. SP;SP;F_231115_092200_0; 0.0;550;;0.0000;0.1408;0.1575;;0.1565;0.006;;;1.378;0.960;0.034;0.036;0.064;0.056;0.051;0.960;0.965;0.023;0.060;0.606;0.387;0.008;139.970;
15.11.23;09:22:10;P.+F. SP;SP;F_231115_092210_0; 0.0;26;;0.0000;0.1402;0.1567;;0.1491;0.048;;;0.529;0.914;0.037;0.041;0.073;0.460;0.433;0.914;0.961;0.007;0.060;0.880;0.113;0.007;9.610;
15.11.23;09:22:13;LC-Stop;LCE;LC1;;;;;;;;;;;;;;;;;;;;;;;;;;;
