time/ms;Fluo/V;P700 deltaI/I x10³;
-199.8000;0.4851;1.5372;
-199.5000;0.4884;1.5397;
-199.2000;0.4860;1.5272;
-198.9000;0.4868;1.5297;
-198.6000;0.4860;1.5297;
-198.3000;0.4851;1.5297;
-198.0000;0.4851;1.5297;
-197.7000;0.4860;1.5272;
-197.4000;0.4868;1.5248;
-197.1000;0.4843;1.5248;
-196.8000;0.4835;1.5198;
-196.5000;0.4860;1.5272;
-196.2000;0.4860;1.5297;
-195.9000;0.4860;1.5297;
-195.6000;0.4851;1.5322;
-195.3000;0.4868;1.5347;
-195.0000;0.4851;1.5297;
-194.7000;0.4851;1.5272;
-194.4000;0.4835;1.5272;
-194.1000;0.4851;1.5347;
-193.8000;0.4868;1.5347;
-193.5000;0.4851;1.5347;
-193.2000;0.4843;1.5372;
-192.9000;0.4876;1.5397;
-192.6000;0.4876;1.5347;
-192.3000;0.4827;1.5173;
-192.0000;0.4835;1.5223;
-191.7000;0.4843;1.5248;
-191.4000;0.4868;1.5248;
-191.1000;0.4860;1.5297;
-190.8000;0.4860;1.5272;
-190.5000;0.4860;1.5248;
-190.2000;0.4835;1.5223;
-189.9000;0.4868;1.5272;
-189.6000;0.4884;1.5248;
-189.3000;0.4884;1.5223;
-189.0000;0.4892;1.5297;
-188.7000;0.4884;1.5322;
-188.4000;0.4860;1.5297;
-188.1000;0.4876;1.5397;
-187.8000;0.4876;1.5297;
-187.5000;0.4843;1.5173;
-187.2000;0.4827;1.5148;
-186.9000;0.4908;1.5272;
-186.6000;0.4835;1.5049;
-186.3000;0.4892;1.5148;
-186.0000;0.4965;1.5297;
-185.7000;0.4860;1.4974;
-185.4000;0.4860;1.4924;
-185.1000;0.4933;1.5073;
-184.8000;0.4868;1.4949;
-184.5000;0.4876;1.5073;
-184.2000;0.4843;1.5073;
-183.9000;0.4860;1.5198;
-183.6000;0.4876;1.5272;
-183.3000;0.4868;1.5397;
-183.0000;0.4843;1.5272;
-182.7000;0.4860;1.5173;
-182.4000;0.4868;1.5173;
-182.1000;0.4868;1.5198;
-181.8000;0.4868;1.5148;
-181.5000;0.4860;1.5173;
-181.2000;0.4876;1.5148;
-180.9000;0.4843;1.5173;
-180.6000;0.4851;1.5198;
-180.3000;0.4851;1.5198;
-180.0000;0.4868;1.5198;
-179.7000;0.4860;1.5123;
-179.4000;0.4860;1.5148;
-179.1000;0.4868;1.5123;
-178.8000;0.4868;1.5173;
-178.5000;0.4892;1.5198;
-178.2000;0.4941;1.5372;
-177.9000;0.4851;1.5049;
-177.6000;0.4868;1.5024;
-177.3000;0.4868;1.5049;
-177.0000;0.4900;1.5198;
-176.7000;0.4868;1.5098;
-176.4000;0.4860;1.5073;
-176.1000;0.4860;1.5098;
-175.8000;0.4876;1.5198;
-175.5000;0.4868;1.5098;
-175.2000;0.4860;1.5123;
-174.9000;0.4868;1.5198;
-174.6000;0.4868;1.5198;
-174.3000;0.4860;1.5297;
-174.0000;0.4860;1.5272;
-173.7000;0.4860;1.5223;
-173.4000;0.4876;1.5322;
-173.1000;0.4868;1.5372;
-172.8000;0.4876;1.5422;
-172.5000;0.4860;1.5471;
-172.2000;0.4860;1.5447;
-171.9000;0.4868;1.5422;
-171.6000;0.4876;1.5546;
-171.3000;0.4851;1.5496;
-171.0000;0.4860;1.5496;
-170.7000;0.4868;1.5496;
-170.4000;0.4876;1.5471;
-170.1000;0.4860;1.5471;
-169.8000;0.4884;1.5447;
-169.5000;0.4908;1.5596;
-169.2000;0.4884;1.5571;
-168.9000;0.4868;1.5397;
-168.6000;0.4860;1.5447;
-168.3000;0.4868;1.5447;
