----,
DateTime:        , 2023/06/01, 10:02:00, 1685624520796,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,          516.93,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      99,     100,     227,
Lamps:,        #10000,
Gain:,             25,      10, 
SNR_raw:,      61.89,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,     40.214,
    1,        0.8,    256.641,      39.761,     40.588,
    2,        3.3,    273.532,      40.718,     40.923,
    3,        5.8,    273.758,      41.615,     41.205,
    4,        8.3,    273.795,      41.609,     41.444,
    5,       10.8,    273.983,      41.741,     41.647,
    6,       13.3,    274.058,      41.730,     41.822,
    7,       15.8,    274.396,      41.839,     41.973,
    8,       18.3,    274.283,      42.133,     42.106,
    9,       20.8,    274.171,      42.180,     42.223,
   10,       23.3,    274.734,      42.268,     42.328,
   11,       25.8,    274.396,      42.262,     42.423,
   12,       28.3,    274.508,      42.448,     42.508,
   13,       30.8,    274.696,      42.550,     42.587,
   14,       33.3,    274.921,      42.763,     42.660,
   15,       35.8,    274.884,      42.652,     42.728,
   16,       38.3,    274.921,      42.966,     42.792,
   17,       40.8,    274.809,      42.809,     42.852,
   18,       43.3,    274.884,      42.870,     42.909,
   19,       45.8,    274.959,      42.990,     42.963,
   20,       48.3,    275.071,      43.045,     43.015,
   21,       50.8,    275.034,      43.196,     43.064,
   22,       53.3,    274.959,      43.077,     43.112,
   23,       55.8,    275.109,      43.126,     43.158,
   24,       58.3,    275.109,      42.995,     43.202,
   25,       60.8,    275.034,      43.298,     43.245,
   26,       63.3,    274.996,      43.318,     43.286,
   27,       65.8,    274.959,      43.441,     43.326,
   28,       68.3,    275.071,      43.321,     43.364,
   29,       70.8,    275.184,      43.361,     43.402,
