----,
DateTime:        , 2023/06/01, 10:50:58, 1685627458674,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,          516.10,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      99,     100,     227,
Lamps:,        #10000,
Gain:,             25,      10, 
SNR_raw:,     441.59,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,     35.710,
    1,        0.8,    256.519,      32.216,     35.037,
    2,        3.3,    273.193,      33.665,     35.038,
    3,        5.8,    273.530,      35.024,     35.492,
    4,        8.3,    273.568,      35.896,     36.202,
    5,       10.8,    273.493,      36.740,     37.054,
    6,       13.3,    273.980,      37.696,     37.978,
    7,       15.8,    273.980,      38.572,     38.940,
    8,       18.3,    274.055,      39.802,     39.914,
    9,       20.8,    274.055,      40.605,     40.890,
   10,       23.3,    274.205,      41.852,     41.858,
   11,       25.8,    274.355,      42.427,     42.813,
   12,       28.3,    274.542,      43.520,     43.753,
   13,       30.8,    274.729,      44.539,     44.676,
   14,       33.3,    274.504,      45.522,     45.583,
   15,       35.8,    274.654,      46.371,     46.470,
   16,       38.3,    274.729,      47.203,     47.337,
   17,       40.8,    274.617,      48.125,     48.186,
   18,       43.3,    274.654,      48.847,     49.014,
   19,       45.8,    274.729,      50.071,     49.821,
   20,       48.3,    274.917,      50.488,     50.607,
   21,       50.8,    275.104,      51.632,     51.373,
   22,       53.3,    275.066,      52.206,     52.119,
   23,       55.8,    275.141,      53.093,     52.845,
   24,       58.3,    275.141,      53.631,     53.550,
   25,       60.8,    274.917,      54.606,     54.237,
   26,       63.3,    275.216,      55.215,     54.901,
   27,       65.8,    275.254,      55.789,     55.546,
   28,       68.3,    275.216,      56.421,     56.171,
   29,       70.8,    275.141,      57.018,     56.777,
