----,
DateTime:        , 2023/06/12, 10:06:11, 1686575171069,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,          508.30,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      99,     100,     227,
Lamps:,        #10000,
Gain:,             25,      10, 
SNR_raw:,    1123.72,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,    144.175,
    1,        0.8,    256.207,     136.720,    146.688,
    2,        3.3,    273.501,     146.355,    151.168,
    3,        5.8,    273.803,     155.370,    156.983,
    4,        8.3,    273.992,     162.387,    163.664,
    5,       10.8,    273.727,     170.260,    170.868,
    6,       13.3,    273.765,     177.878,    178.347,
    7,       15.8,    273.992,     185.541,    185.923,
    8,       18.3,    274.218,     193.323,    193.470,
    9,       20.8,    274.105,     200.685,    200.897,
   10,       23.3,    274.143,     207.500,    208.137,
   11,       25.8,    274.369,     214.545,    215.148,
   12,       28.3,    274.369,     221.587,    221.899,
   13,       30.8,    274.369,     228.308,    228.374,
   14,       33.3,    274.332,     235.076,    234.559,
   15,       35.8,    274.634,     240.832,    240.450,
   16,       38.3,    274.822,     246.605,    246.046,
   17,       40.8,    274.860,     252.218,    251.354,
   18,       43.3,    274.785,     257.309,    256.380,
   19,       45.8,    274.936,     262.115,    261.128,
   20,       48.3,    274.898,     266.618,    265.608,
   21,       50.8,    274.709,     271.271,    269.833,
   22,       53.3,    274.936,     274.932,    273.804,
   23,       55.8,    274.785,     278.824,    277.541,
   24,       58.3,    274.709,     282.090,    281.051,
   25,       60.8,    275.011,     285.198,    284.338,
   26,       63.3,    274.973,     288.132,    287.422,
   27,       65.8,    274.747,     291.442,    290.316,
   28,       68.3,    274.936,     293.817,    293.020,
   29,       70.8,    274.973,     296.002,    295.550,
