Source DataFile                                         ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,        Fo,        Fm,     Fv/Fm,       Sig,         p,    Alp1QA,    Tau1QA,    Alp2QA,    Tau2QA,    Alp3QA,    Tau3QA,   alpCarQ,   tauCarQ,  alpP680Q,     Alpha,        Ek,      Pmax,
--------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,
C:\LIFT\DATA\PICO\PICO_202306121046_JuNa1197_4_data.csv , 2023/06/12, 10:47:34,    1686577654509,--Not Acquired--     ,--Not Acquired--     ,   507.04,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   112  ,   103.6680,     0.9634,    123.21,    399.74,    0.6918,    170.82,    0.0160,    0.3350,       705,    0.5156,      3483,    0.1494,     15033,     2.530,      4.32,   0.00000,      1.03,    226.20,    234.05,
C:\LIFT\DATA\PICO\PICO_202306121046_JuNa1197_4_data.csv , 2023/06/12, 10:47:36,    1686577656513,--Not Acquired--     ,--Not Acquired--     ,   507.53,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   121  ,    55.7727,     0.9756,    116.72,    365.81,    0.6809,    192.28,    0.0000,    0.3203,      1076,    0.4952,      3390,    0.1845,     13033,     0.724,     11.87,   0.00000,      1.16,    195.03,    225.83,
C:\LIFT\DATA\PICO\PICO_202306121046_JuNa1197_4_data.csv , 2023/06/12, 10:47:47,    1686577667467,--Not Acquired--     ,--Not Acquired--     ,   509.47,     0.0000,      0.0000,  NO DATA,    '10000,     20.00,      0.00,      0.00,      0.00,      0.00,      0.00,   122  ,    90.0148,     0.9789,    175.44,    383.24,    0.5422,    204.48,    0.0000,    0.4876,      1381,    0.4274,      5933,    0.0850,    111043,     0.288,     24.21,   0.00000,      1.23,     64.16,     79.07,
C:\LIFT\DATA\PICO\PICO_202306121046_JuNa1197_4_data.csv , 2023/06/12, 10:47:49,    1686577669455,--Not Acquired--     ,--Not Acquired--     ,   507.27,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    40.7226,     0.9781,    119.79,    363.96,    0.6709,    202.79,    0.0000,    0.2759,       963,    0.5089,      3376,    0.2152,     12795,     0.513,     15.56,   0.00000,      1.22,    172.88,    211.13,
C:\LIFT\DATA\PICO\PICO_202306121046_JuNa1197_4_data.csv , 2023/06/12, 10:48:00,    1686577680324,--Not Acquired--     ,--Not Acquired--     ,   513.14,     0.0000,      0.0000,  NO DATA,    '10000,     40.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    94.1036,     0.9772,    192.95,    383.78,    0.4972,    205.19,    0.0000,    0.4565,      1214,    0.4648,      4819,    0.0787,     90190,     0.246,     27.12,   0.00000,      1.24,     81.83,    101.13,
C:\LIFT\DATA\PICO\PICO_202306121046_JuNa1197_4_data.csv , 2023/06/12, 10:48:02,    1686577682310,--Not Acquired--     ,--Not Acquired--     ,   507.93,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    33.5865,     0.9767,    120.49,    356.38,    0.6619,    205.34,    0.0000,    0.3044,       897,    0.5448,      3514,    0.1508,     14179,     0.608,     11.88,   0.00000,      1.24,    186.95,    231.18,
C:\LIFT\DATA\PICO\PICO_202306121046_JuNa1197_4_data.csv , 2023/06/12, 10:48:13,    1686577693172,--Not Acquired--     ,--Not Acquired--     ,   525.26,     0.0000,      0.0000,  NO DATA,    '10000,     80.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    89.8147,     0.9748,    284.36,    421.08,    0.3247,    197.47,    0.0000,    0.4663,      1200,    0.4425,      4344,    0.0912,     60725,     0.188,     28.84,   0.00000,      1.19,    104.88,    124.72,
C:\LIFT\DATA\PICO\PICO_202306121046_JuNa1197_4_data.csv , 2023/06/12, 10:48:15,    1686577695091,--Not Acquired--     ,--Not Acquired--     ,   507.31,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,   101.9120,     0.9750,    121.39,    371.64,    0.6734,    202.00,    0.0000,    0.2861,       778,    0.4922,      3174,    0.2217,     12356,     0.396,     22.15,   0.00000,      1.22,    181.71,    221.04,
C:\LIFT\DATA\PICO\PICO_202306121046_JuNa1197_4_data.csv , 2023/06/12, 10:48:26,    1686577705922,--Not Acquired--     ,--Not Acquired--     ,   548.92,     0.0000,      0.0000,  NO DATA,    '10000,    160.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    63.1907,     0.9768,    345.78,    438.90,    0.2122,    208.14,    0.0000,    0.5505,      1414,    0.3780,      3860,    0.0715,     49301,     0.207,     20.53,   0.00000,      1.25,    138.47,    173.57,
