Source DataFile                                             ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,        Fo,        Fm,     Fv/Fm,       Sig,         p,    Alp1QA,    Tau1QA,    Alp2QA,    Tau2QA,    Alp3QA,    Tau3QA,   alpCarQ,   tauCarQ,  alpP680Q,     Alpha,        Ek,      Pmax,
------------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,
C:\LIFT\DATA\PICO\PICO_202307050934_JuNa1210_445_2_data.csv , 2023/07/05, 09:34:59,    1688560499069,--Not Acquired--     ,--Not Acquired--     ,   523.72,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     1.1055,     0.9071,     20.43,     37.71,    0.4582,     98.91,    0.0000,    0.3299,       966,    0.1564,      5388,    0.5137,     10169,     0.222,      9.95,   0.00000,      0.60,    262.93,    156.61,
C:\LIFT\DATA\PICO\PICO_202307050934_JuNa1210_445_2_data.csv , 2023/07/05, 09:35:01,    1688560500911,--Not Acquired--     ,--Not Acquired--     ,   524.30,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     4.5565,     0.9362,     20.51,     36.25,    0.4343,    120.99,    0.0000,    0.3505,       908,    0.0056,      1789,    0.6439,      7479,     0.060,     70.55,   0.00000,      0.73,    266.83,    194.42,
C:\LIFT\DATA\PICO\PICO_202307050934_JuNa1210_445_2_data.csv , 2023/07/05, 09:35:11,    1688560511767,--Not Acquired--     ,--Not Acquired--     ,   524.53,     0.0000,      0.0000,  NO DATA,    '10000,     20.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     1.2903,     0.9124,     23.49,     35.45,    0.3376,    113.40,    0.0000,    0.4977,       825,    0.4610,      5245,    0.0413,     28219,     0.472,      7.14,   0.00000,      0.68,    366.74,    250.45,
C:\LIFT\DATA\PICO\PICO_202307050934_JuNa1210_445_2_data.csv , 2023/07/05, 09:35:13,    1688560513671,--Not Acquired--     ,--Not Acquired--     ,   524.48,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   121  ,     1.6319,     0.9174,     20.90,     35.68,    0.4141,    113.00,    0.0000,    0.3532,       705,    0.4060,      3570,    0.2408,     11679,     0.063,     56.35,   0.00000,      0.68,    325.82,    221.72,
C:\LIFT\DATA\PICO\PICO_202307050934_JuNa1210_445_2_data.csv , 2023/07/05, 09:35:24,    1688560524527,--Not Acquired--     ,--Not Acquired--     ,   524.89,     0.0000,      0.0000,  NO DATA,    '10000,     40.00,      0.00,      0.00,      0.00,      0.00,      0.00,   211  ,     1.1701,     0.9073,     24.18,     35.81,    0.3248,    112.12,    0.0000,    0.4862,       757,    0.4464,      4216,    0.0674,     17108,     0.357,      9.72,   0.00000,      0.68,    435.18,    293.83,
C:\LIFT\DATA\PICO\PICO_202307050934_JuNa1210_445_2_data.csv , 2023/07/05, 09:35:26,    1688560526394,--Not Acquired--     ,--Not Acquired--     ,   524.29,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     1.8350,     0.9124,     20.83,     35.82,    0.4183,    111.81,    0.0000,    0.3748,       668,    0.4376,      3594,    0.1875,     14104,     0.065,     59.29,   0.00000,      0.67,    332.43,    223.83,
C:\LIFT\DATA\PICO\PICO_202307050934_JuNa1210_445_2_data.csv , 2023/07/05, 09:35:37,    1688560537245,--Not Acquired--     ,--Not Acquired--     ,   525.82,     0.0000,      0.0000,  NO DATA,    '10000,     80.00,      0.00,      0.00,      0.00,      0.00,      0.00,   221  ,     1.2282,     0.9100,     26.77,     36.54,    0.2673,    110.52,    0.0000,    0.4245,       816,    0.5220,      3931,    0.0535,     23362,     0.282,     11.56,   0.00000,      0.67,    411.92,    274.16,
C:\LIFT\DATA\PICO\PICO_202307050934_JuNa1210_445_2_data.csv , 2023/07/05, 09:35:39,    1688560539160,--Not Acquired--     ,--Not Acquired--     ,   524.55,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     2.1370,     0.9172,     21.74,     36.24,    0.4002,    111.43,    0.0000,    0.3892,       812,    0.4110,      4115,    0.1998,     13829,     0.054,     57.43,   0.00000,      0.67,    312.46,    209.67,
C:\LIFT\DATA\PICO\PICO_202307050934_JuNa1210_445_2_data.csv , 2023/07/05, 09:35:50,    1688560550011,--Not Acquired--     ,--Not Acquired--     ,   528.12,     0.0000,      0.0000,  NO DATA,    '10000,    160.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     1.4114,     0.9012,     30.02,     37.79,    0.2056,    104.18,    0.0000,    0.4596,       948,    0.4801,      3585,    0.0602,     18194,     0.265,     10.88,   0.00081,      0.63,    490.08,    307.47,
