Source DataFile                                          ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,        Fo,        Fm,     Fv/Fm,       Sig,         p,    Alp1QA,    Tau1QA,    Alp2QA,    Tau2QA,    Alp3QA,    Tau3QA,   alpCarQ,   tauCarQ,  alpP680Q,     Alpha,        Ek,      Pmax,
---------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,
C:\LIFT\DATA\PICO\PICO_202307050938_JuNa1210_44_data.csv , 2023/07/05, 09:40:24,    1688560824562,--Not Acquired--     ,--Not Acquired--     ,   519.38,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     1.6274,     0.9141,     19.22,     35.75,    0.4625,    101.59,    0.0000,    0.4149,      1279,    0.4938,      8696,    0.0913,    240074,     0.236,      6.75,   0.00000,      0.63,     59.12,     37.36,
C:\LIFT\DATA\PICO\PICO_202307050938_JuNa1210_44_data.csv , 2023/07/05, 09:40:26,    1688560826572,--Not Acquired--     ,--Not Acquired--     ,   519.42,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     2.5221,     0.9237,     21.03,     35.17,    0.4021,    109.15,    0.0000,    0.3862,      1142,    0.5480,      6593,    0.0658,     76477,     0.298,      5.95,   0.00000,      0.66,    167.49,    110.10,
C:\LIFT\DATA\PICO\PICO_202307050938_JuNa1210_44_data.csv , 2023/07/05, 09:40:37,    1688560837541,--Not Acquired--     ,--Not Acquired--     ,   520.27,     0.0000,      0.0000,  NO DATA,    '10000,     20.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     1.1384,     0.9205,     24.05,     35.68,    0.3260,    116.77,    0.0000,    0.4769,       892,    0.4748,      5151,    0.0483,     38187,     0.397,      6.72,   0.00000,      0.70,    301.57,    212.07,
C:\LIFT\DATA\PICO\PICO_202307050938_JuNa1210_44_data.csv , 2023/07/05, 09:40:39,    1688560839434,--Not Acquired--     ,--Not Acquired--     ,   519.38,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   121  ,     1.6555,     0.9202,     21.50,     35.23,    0.3899,    111.23,    0.0000,    0.3490,       838,    0.5351,      4604,    0.1159,     20394,     0.210,      9.08,   0.00000,      0.67,    291.61,    195.34,
C:\LIFT\DATA\PICO\PICO_202307050938_JuNa1210_44_data.csv , 2023/07/05, 09:40:50,    1688560850315,--Not Acquired--     ,--Not Acquired--     ,   519.34,     0.0000,      0.0000,  NO DATA,    '10000,     40.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     1.2967,     0.9210,     24.67,     35.89,    0.3127,    119.57,    0.0000,    0.4258,       757,    0.5177,      4177,    0.0565,     24257,     0.310,      9.47,   0.00000,      0.72,    360.30,    259.44,
C:\LIFT\DATA\PICO\PICO_202307050938_JuNa1210_44_data.csv , 2023/07/05, 09:40:52,    1688560852197,--Not Acquired--     ,--Not Acquired--     ,   519.06,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     1.5110,     0.9243,     21.39,     35.22,    0.3927,    114.37,    0.0000,    0.3654,       880,    0.5315,      4544,    0.1031,     20631,     0.176,      9.59,   0.00000,      0.69,    298.58,    205.65,
C:\LIFT\DATA\PICO\PICO_202307050938_JuNa1210_44_data.csv , 2023/07/05, 09:41:03,    1688560863090,--Not Acquired--     ,--Not Acquired--     ,   520.35,     0.0000,      0.0000,  NO DATA,    '10000,     80.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     1.4017,     0.9158,     26.45,     36.49,    0.2751,    115.69,    0.0000,    0.3690,       700,    0.5636,      3457,    0.0674,     19564,     0.316,     10.37,   0.00000,      0.70,    407.26,    283.74,
C:\LIFT\DATA\PICO\PICO_202307050938_JuNa1210_44_data.csv , 2023/07/05, 09:41:05,    1688560864981,--Not Acquired--     ,--Not Acquired--     ,   519.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     1.5178,     0.9174,     21.36,     35.53,    0.3988,    112.66,    0.0000,    0.3760,       756,    0.5230,      4312,    0.1010,     20856,     0.195,     10.84,   0.00000,      0.68,    317.24,    215.23,
C:\LIFT\DATA\PICO\PICO_202307050938_JuNa1210_44_data.csv , 2023/07/05, 09:41:16,    1688560875851,--Not Acquired--     ,--Not Acquired--     ,   522.94,     0.0000,      0.0000,  NO DATA,    '10000,    160.00,      0.00,      0.00,      0.00,      0.00,      0.00,   121  ,     1.7200,     0.9046,     28.30,     36.92,    0.2335,    105.73,    0.0000,    0.4970,      1007,    0.4684,      4096,    0.0346,     49696,     0.191,     17.03,   0.00000,      0.64,    379.66,    241.74,
