Source DataFile                                               ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,        Fo,        Fm,     Fv/Fm,       Sig,         p,    Alp1QA,    Tau1QA,    Alp2QA,    Tau2QA,    Alp3QA,    Tau3QA,   alpCarQ,   tauCarQ,  alpP680Q,     Alpha,        Ek,      Pmax,
--------------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,
C:\LIFT\DATA\PICO\PICO_202307050945_JuNa1210_445_250_data.csv , 2023/07/05, 09:47:05,    1688561225279,--Not Acquired--     ,--Not Acquired--     ,   519.09,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     1.6513,     0.9033,     18.55,     33.97,    0.4539,     99.18,    0.0000,    0.4563,      1083,    0.4614,      7625,    0.0823,    220244,     0.273,      6.02,   0.00000,      0.61,     73.73,     45.10,
C:\LIFT\DATA\PICO\PICO_202307050945_JuNa1210_445_250_data.csv , 2023/07/05, 09:47:07,    1688561227283,--Not Acquired--     ,--Not Acquired--     ,   518.87,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     2.3180,     0.9173,     20.06,     33.27,    0.3971,    107.36,    0.0000,    0.4294,      1077,    0.5129,      6104,    0.0577,     74180,     0.290,      5.22,   0.00000,      0.65,    196.46,    127.02,
C:\LIFT\DATA\PICO\PICO_202307050945_JuNa1210_445_250_data.csv , 2023/07/05, 09:47:18,    1688561238236,--Not Acquired--     ,--Not Acquired--     ,   518.50,     0.0000,      0.0000,  NO DATA,    '10000,     20.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     0.9661,     0.9086,     23.00,     34.18,    0.3270,    112.70,    0.0000,    0.4687,       747,    0.3997,      3716,    0.1316,     11998,     0.548,      5.80,   0.00000,      0.68,    431.61,    292.93,
C:\LIFT\DATA\PICO\PICO_202307050945_JuNa1210_445_250_data.csv , 2023/07/05, 09:47:20,    1688561240086,--Not Acquired--     ,--Not Acquired--     ,   518.51,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     1.3438,     0.9120,     20.41,     33.49,    0.3906,    107.75,    0.0000,    0.4204,       883,    0.4758,      4692,    0.1039,     18954,     0.195,      8.39,   0.00000,      0.65,    337.11,    218.75,
C:\LIFT\DATA\PICO\PICO_202307050945_JuNa1210_445_250_data.csv , 2023/07/05, 09:47:31,    1688561250937,--Not Acquired--     ,--Not Acquired--     ,   519.51,     0.0000,      0.0000,  NO DATA,    '10000,     40.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     1.2159,     0.9088,     23.41,     34.46,    0.3207,    111.27,    0.0000,    0.4934,       834,    0.4631,      4434,    0.0435,     23328,     0.434,      6.55,   0.00000,      0.67,    428.86,    287.37,
C:\LIFT\DATA\PICO\PICO_202307050945_JuNa1210_445_250_data.csv , 2023/07/05, 09:47:32,    1688561252803,--Not Acquired--     ,--Not Acquired--     ,   518.20,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   121  ,     1.3601,     0.9171,     20.26,     33.82,    0.4009,    112.28,    0.0000,    0.4287,       862,    0.5003,      4520,    0.0710,     25368,     0.149,     12.35,   0.00000,      0.68,    333.76,    225.68,
C:\LIFT\DATA\PICO\PICO_202307050945_JuNa1210_445_250_data.csv , 2023/07/05, 09:47:43,    1688561263675,--Not Acquired--     ,--Not Acquired--     ,   521.19,     0.0000,      0.0000,  NO DATA,    '10000,     80.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     1.2693,     0.9039,     24.71,     34.89,    0.2919,    108.91,    0.0000,    0.4411,       747,    0.5220,      3978,    0.0369,     42688,     0.272,     11.61,   0.00000,      0.66,    382.82,    251.09,
C:\LIFT\DATA\PICO\PICO_202307050945_JuNa1210_445_250_data.csv , 2023/07/05, 09:47:45,    1688561265579,--Not Acquired--     ,--Not Acquired--     ,   519.04,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     1.5181,     0.9126,     19.93,     34.15,    0.4165,    111.17,    0.0000,    0.4532,       815,    0.4792,      4604,    0.0677,     27157,     0.054,     50.16,   0.00000,      0.67,    338.57,    226.67,
C:\LIFT\DATA\PICO\PICO_202307050945_JuNa1210_445_250_data.csv , 2023/07/05, 09:47:56,    1688561276436,--Not Acquired--     ,--Not Acquired--     ,   522.12,     0.0000,      0.0000,  NO DATA,    '10000,    160.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     1.1866,     0.8999,     26.67,     35.26,    0.2435,    102.74,    0.0000,    0.4720,      1006,    0.4821,      3713,    0.0459,     36533,     0.246,     12.69,   0.00046,      0.62,    410.23,    253.82,
C:\LIFT\DATA\PICO\PICO_202307050945_JuNa1210_445_250_data.csv , 2023/07/05, 09:47:58,    1688561278337,--Not Acquired--     ,--Not Acquired--     ,   518.85,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     1.5264,     0.9097,     20.02,     33.73,    0.4064,    106.73,    0.0000,    0.4017,       858,    0.4850,      4047,    0.1133,     16565,     0.079,     14.07,   0.00000,      0.64,    371.94,    239.06,
C:\LIFT\DATA\PICO\PICO_202307050945_JuNa1210_445_250_data.csv , 2023/07/05, 09:48:09,    1688561289191,--Not Acquired--     ,--Not Acquired--     ,   526.14,     0.0000,      0.0000,  NO DATA,    '10000,    320.00,      0.00,      0.00,      0.00,      0.00,      0.00,   211  ,     1.2086,     0.8795,     29.77,     36.17,    0.1768,     93.00,    0.0000,    0.4722,      1056,    0.4756,      3063,    0.0522,     21972,     0.261,     13.15,   0.00230,      0.56,    575.60,    322.37,
C:\LIFT\DATA\PICO\PICO_202307050945_JuNa1210_445_250_data.csv , 2023/07/05, 09:48:11,    1688561291067,--Not Acquired--     ,--Not Acquired--     ,   519.13,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     1.4118,     0.9104,     20.00,     33.78,    0.4080,    109.57,    0.0000,    0.4438,       815,    0.4489,      4139,    0.1074,     17164,     0.153,     12.64,   0.00000,      0.66,    373.11,    246.19,
C:\LIFT\DATA\PICO\PICO_202307050945_JuNa1210_445_250_data.csv , 2023/07/05, 09:48:22,    1688561301919,--Not Acquired--     ,--Not Acquired--     ,   522.36,     0.0000,      0.0000,  NO DATA,    '10000,    160.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     1.4684,     0.8956,     26.17,     35.27,    0.2581,    102.19,    0.0000,    0.4401,       864,    0.5098,      3488,    0.0501,     24511,     0.282,     11.90,   0.00000,      0.62,    479.84,    295.30,
