Source DataFile                                              ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,        Fo,        Fm,     Fv/Fm,       Sig,         p,    Alp1QA,    Tau1QA,    Alp2QA,    Tau2QA,    Alp3QA,    Tau3QA,   alpCarQ,   tauCarQ,  alpP680Q,     Alpha,        Ek,      Pmax,
-------------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,
C:\LIFT\DATA\PICO\PICO_202307051018_JuNa1212_445_25_data.csv , 2023/07/05, 10:19:47,    1688563186932,--Not Acquired--     ,--Not Acquired--     ,   519.52,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   112  ,     1.1592,     0.9388,     12.44,     20.07,    0.3804,    112.48,    0.0000,    0.3640,      1760,    0.5730,     12538,    0.0630,    243167,     0.378,      7.77,   0.00002,      0.70,     62.25,     43.54,
C:\LIFT\DATA\PICO\PICO_202307051018_JuNa1212_445_25_data.csv , 2023/07/05, 10:19:49,    1688563188926,--Not Acquired--     ,--Not Acquired--     ,   519.74,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     1.2920,     0.9414,     12.99,     19.70,    0.3407,    119.93,    0.0000,    0.3449,      1208,    0.4399,      6692,    0.2152,     25674,     0.078,     63.33,   0.00000,      0.72,    155.84,    112.55,
C:\LIFT\DATA\PICO\PICO_202307051018_JuNa1212_445_25_data.csv , 2023/07/05, 10:20:00,    1688563199826,--Not Acquired--     ,--Not Acquired--     ,   519.53,     0.0000,      0.0000,  NO DATA,    '10000,     20.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     0.9221,     0.9548,     14.48,     19.55,    0.2595,    146.50,    0.0000,    0.3884,       961,    0.4534,      4690,    0.1582,     24221,     0.150,     26.66,   0.00000,      0.88,    179.02,    157.94,
C:\LIFT\DATA\PICO\PICO_202307051018_JuNa1212_445_25_data.csv , 2023/07/05, 10:20:01,    1688563201705,--Not Acquired--     ,--Not Acquired--     ,   519.82,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     1.5470,     0.9480,     13.17,     19.49,    0.3243,    128.06,    0.0000,    0.3957,      1257,    0.3965,      6556,    0.2078,     21489,     0.080,     49.80,   0.00000,      0.77,    171.49,    132.25,
C:\LIFT\DATA\PICO\PICO_202307051018_JuNa1212_445_25_data.csv , 2023/07/05, 10:20:12,    1688563212574,--Not Acquired--     ,--Not Acquired--     ,   519.69,     0.0000,      0.0000,  NO DATA,    '10000,     40.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     1.0800,     0.9388,     14.93,     19.77,    0.2447,    133.96,    0.0000,    0.3571,       690,    0.4327,      3588,    0.2102,     17235,     0.146,     27.51,   0.00000,      0.81,    228.64,    184.45,
C:\LIFT\DATA\PICO\PICO_202307051018_JuNa1212_445_25_data.csv , 2023/07/05, 10:20:14,    1688563214439,--Not Acquired--     ,--Not Acquired--     ,   519.24,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   121  ,     1.2156,     0.9475,     13.08,     19.46,    0.3278,    130.23,    0.0000,    0.3057,       913,    0.4725,      5187,    0.2218,     21798,     0.073,     52.82,   0.00000,      0.78,    168.57,    132.20,
C:\LIFT\DATA\PICO\PICO_202307051018_JuNa1212_445_25_data.csv , 2023/07/05, 10:20:25,    1688563225342,--Not Acquired--     ,--Not Acquired--     ,   520.41,     0.0000,      0.0000,  NO DATA,    '10000,     80.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     1.4039,     0.9503,     15.88,     19.88,    0.2013,    136.80,    0.0000,    0.4713,      1255,    0.4479,      5924,    0.0808,     51977,     0.122,     31.06,   0.00000,      0.82,    163.06,    134.34,
C:\LIFT\DATA\PICO\PICO_202307051018_JuNa1212_445_25_data.csv , 2023/07/05, 10:20:27,    1688563227269,--Not Acquired--     ,--Not Acquired--     ,   519.52,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   121  ,     1.2027,     0.9427,     13.13,     19.65,    0.3319,    127.74,    0.0000,    0.3926,      1006,    0.3898,      5094,    0.2176,     19038,     0.072,     61.27,   0.00000,      0.77,    199.30,    153.32,
C:\LIFT\DATA\PICO\PICO_202307051018_JuNa1212_445_25_data.csv , 2023/07/05, 10:20:38,    1688563238150,--Not Acquired--     ,--Not Acquired--     ,   521.99,     0.0000,      0.0000,  NO DATA,    '10000,    160.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     0.9964,     0.9339,     17.47,     20.57,    0.1508,    253.43,    0.1790,    0.5447,        19,    0.3088,      2107,    0.1465,     14385,     0.288,      6.59,   0.00000,      1.63,    224.29,    366.68,
