----,
DateTime:        , 2023/10/30, 09:39:44, 1698669584143,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,        -2924.09,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      99,     100,     227,
Lamps:,        #10000,
Gain:,              1,      10, 
SNR_raw:,      42.95,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,     30.642,
    1,        0.8,    255.731,      30.209,     30.631,
    2,        3.3,    273.440,      31.084,     30.834,
    3,        5.8,    273.515,      31.901,     31.198,
    4,        8.3,    273.855,      30.401,     31.668,
    5,       10.8,    274.044,      31.110,     32.209,
    6,       13.3,    274.308,      33.632,     32.796,
    7,       15.8,    274.459,      32.520,     33.413,
    8,       18.3,    274.799,      34.663,     34.047,
    9,       20.8,    274.648,      35.047,     34.692,
   10,       23.3,    274.648,      35.411,     35.341,
   11,       25.8,    274.761,      37.944,     35.991,
   12,       28.3,    274.761,      35.760,     36.638,
   13,       30.8,    274.988,      37.185,     37.281,
   14,       33.3,    274.837,      37.570,     37.920,
   15,       35.8,    275.063,      38.629,     38.552,
   16,       38.3,    275.139,      38.619,     39.178,
   17,       40.8,    275.139,      39.709,     39.797,
   18,       43.3,    275.101,      40.805,     40.408,
   19,       45.8,    275.063,      39.720,     41.013,
   20,       48.3,    275.063,      41.901,     41.609,
   21,       50.8,    275.214,      41.878,     42.198,
   22,       53.3,    275.063,      43.719,     42.780,
   23,       55.8,    275.063,      43.719,     43.353,
   24,       58.3,    275.101,      42.986,     43.919,
   25,       60.8,    275.214,      42.968,     44.477,
   26,       63.3,    275.139,      46.251,     45.027,
   27,       65.8,    275.441,      44.748,     45.570,
   28,       68.3,    275.441,      46.200,     46.105,
   29,       70.8,    275.327,      47.672,     46.632,
