Source DataFile                                           ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,        Fo,        Fm,     Fv/Fm,       Sig,         p,    Alp1QA,    Tau1QA,    Alp2QA,    Tau2QA,    Alp3QA,    Tau3QA,   alpCarQ,   tauCarQ,  alpP680Q,     Alpha,        Ek,      Pmax,
----------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,
C:\LIFT\DATA\PICO\PICO_202310301028_JuNa1240_445_data.csv , 2023/10/30, 10:29:11,    1698672551502,--Not Acquired--     ,--Not Acquired--     ,   525.87,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    17.3456,     0.9696,     34.90,     68.14,    0.4879,     86.18,    0.0000,    0.3980,      5481,    0.5061,     29740,    0.0959, 1.000e+07,     0.209,     15.43,   0.00000,      0.62,     10.00,      6.16,
C:\LIFT\DATA\PICO\PICO_202310301028_JuNa1240_445_data.csv , 2023/10/30, 10:29:13,    1698672553699,--Not Acquired--     ,--Not Acquired--     ,   525.17,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   121  ,    17.7338,     0.9721,     41.41,     69.36,    0.4030,     93.85,    0.0000,    0.2593,      2034,    0.5746,     12160,    0.1661,     63839,     0.306,     10.06,   0.00000,      0.57,     97.66,     55.20,
C:\LIFT\DATA\PICO\PICO_202310301028_JuNa1240_445_data.csv , 2023/10/30, 10:29:25,    1698672564880,--Not Acquired--     ,--Not Acquired--     ,   524.66,     0.0000,      0.0000,  NO DATA,    '10000,     20.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     3.8470,     0.9719,     50.43,     71.48,    0.2945,     98.28,    0.0000,    0.3469,      1871,    0.5773,     12057,    0.0758,     50296,     0.263,     12.29,   0.00000,      0.59,    147.93,     87.56,
C:\LIFT\DATA\PICO\PICO_202310301028_JuNa1240_445_data.csv , 2023/10/30, 10:29:27,    1698672566983,--Not Acquired--     ,--Not Acquired--     ,   523.58,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    20.0586,     0.9704,     42.05,     70.42,    0.4030,     94.04,    0.0000,    0.3150,      1836,    0.5548,     14025,    0.1302,     86422,     0.072,     48.76,   0.00000,      0.57,     90.01,     50.98,
C:\LIFT\DATA\PICO\PICO_202310301028_JuNa1240_445_data.csv , 2023/10/30, 10:29:38,    1698672578172,--Not Acquired--     ,--Not Acquired--     ,   525.19,     0.0000,      0.0000,  NO DATA,    '10000,     40.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     5.0262,     0.9726,     53.75,     72.26,    0.2562,     98.13,    0.0000,    0.2995,      1884,    0.5977,     10455,    0.1028,     36517,     0.281,     10.89,   0.00000,      0.59,    160.14,     94.64,
C:\LIFT\DATA\PICO\PICO_202310301028_JuNa1240_445_data.csv , 2023/10/30, 10:29:40,    1698672580251,--Not Acquired--     ,--Not Acquired--     ,   524.33,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    16.3487,     0.9706,     42.71,     70.72,    0.3961,     94.97,    0.0000,    0.3004,      1673,    0.5392,     12674,    0.1604,     61246,     0.072,     47.88,   0.00000,      0.57,    101.88,     58.27,
C:\LIFT\DATA\PICO\PICO_202310301028_JuNa1240_445_data.csv , 2023/10/30, 10:29:51,    1698672591406,--Not Acquired--     ,--Not Acquired--     ,   528.34,     0.0000,      0.0000,  NO DATA,    '10000,     80.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     5.0749,     0.9729,     61.12,     74.55,    0.1801,     96.80,    0.0000,    0.3425,      2566,    0.6025,     10599,    0.0550,     36665,     0.268,     11.28,   0.00000,      0.58,    184.83,    107.75,
C:\LIFT\DATA\PICO\PICO_202310301028_JuNa1240_445_data.csv , 2023/10/30, 10:29:53,    1698672593492,--Not Acquired--     ,--Not Acquired--     ,   524.65,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   121  ,    25.0539,     0.9715,     43.87,     71.62,    0.3875,     95.27,    0.0000,    0.2826,      1720,    0.4532,     11059,    0.2642,     40183,     0.068,     50.46,   0.00000,      0.57,    108.17,     62.06,
C:\LIFT\DATA\PICO\PICO_202310301028_JuNa1240_445_data.csv , 2023/10/30, 10:30:04,    1698672604617,--Not Acquired--     ,--Not Acquired--     ,   532.56,     0.0000,      0.0000,  NO DATA,    '10000,    160.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     2.2863,     0.9019,     67.39,     79.17,    0.1489,    128.06,    0.2300,    0.5460,        29,    0.2289,      2034,    0.2251,     15191,     0.262,      8.55,   0.00363,      0.84,    312.81,    262.52,
