Source DataFile                                               ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,        Fo,        Fm,     Fv/Fm,       Sig,         p,    Alp1QA,    Tau1QA,    Alp2QA,    Tau2QA,    Alp3QA,    Tau3QA,   alpCarQ,   tauCarQ,  alpP680Q,     Alpha,        Ek,      Pmax,
--------------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,
C:\LIFT\DATA\PICO\PICO_202311010843_MiSa2019_445_250_data.csv , 2023/11/01, 08:43:55,    1698839035651,--Not Acquired--     ,--Not Acquired--     ,   512.49,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    64.8352,     0.9709,    102.32,    340.17,    0.6992,    200.62,    0.0000,    0.3911,       932,    0.4602,      2402,    0.1486,     13624,     1.785,      5.24,   0.00000,      1.21,    236.87,    286.17,
C:\LIFT\DATA\PICO\PICO_202311010843_MiSa2019_445_250_data.csv , 2023/11/01, 08:43:57,    1698839037678,--Not Acquired--     ,--Not Acquired--     ,   512.14,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    40.0809,     0.9771,     97.64,    325.22,    0.6998,    227.94,    0.0010,    0.3835,      1040,    0.4298,      2155,    0.1866,     12559,     0.715,     12.01,   0.00000,      1.37,    198.51,    272.60,
C:\LIFT\DATA\PICO\PICO_202311010843_MiSa2019_445_250_data.csv , 2023/11/01, 08:44:08,    1698839048624,--Not Acquired--     ,--Not Acquired--     ,   515.29,     0.0000,      0.0000,  NO DATA,    '10000,     20.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    12.7833,     0.9792,    122.03,    312.60,    0.6096,    249.11,    0.0150,    0.4744,      1019,    0.4315,      3169,    0.0940,     71527,     0.451,     14.82,   0.00000,      1.51,     77.28,    116.67,
C:\LIFT\DATA\PICO\PICO_202311010843_MiSa2019_445_250_data.csv , 2023/11/01, 08:44:10,    1698839050659,--Not Acquired--     ,--Not Acquired--     ,   512.66,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    15.7102,     0.9822,     97.26,    301.11,    0.6770,    246.13,    0.1070,    0.3791,      1021,    0.5057,      2576,    0.1152,     16289,     0.608,     11.76,   0.00000,      1.54,    182.97,    282.68,
C:\LIFT\DATA\PICO\PICO_202311010843_MiSa2019_445_250_data.csv , 2023/11/01, 08:44:21,    1698839061602,--Not Acquired--     ,--Not Acquired--     ,   517.34,     0.0000,      0.0000,  NO DATA,    '10000,     40.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    30.7712,     0.9758,    148.92,    329.32,    0.5478,    228.50,    0.0000,    0.3641,       843,    0.5097,      2663,    0.1262,     82765,     0.271,     26.67,   0.00000,      1.38,     60.03,     82.61,
C:\LIFT\DATA\PICO\PICO_202311010843_MiSa2019_445_250_data.csv , 2023/11/01, 08:44:23,    1698839063625,--Not Acquired--     ,--Not Acquired--     ,   513.30,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    21.7305,     0.9813,     96.58,    301.40,    0.6796,    244.39,    0.1100,    0.3851,       961,    0.5002,      2557,    0.1147,     16213,     0.500,     15.02,   0.00000,      1.54,    187.18,    287.43,
C:\LIFT\DATA\PICO\PICO_202311010843_MiSa2019_445_250_data.csv , 2023/11/01, 08:44:34,    1698839074578,--Not Acquired--     ,--Not Acquired--     ,   528.80,     0.0000,      0.0000,  NO DATA,    '10000,     80.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    55.4695,     0.9744,    250.26,    379.34,    0.3403,    208.00,    0.0000,    0.3286,       882,    0.4866,      2568,    0.1848,     46096,     0.162,     31.79,   0.00000,      1.25,     79.37,     99.43,
C:\LIFT\DATA\PICO\PICO_202311010843_MiSa2019_445_250_data.csv , 2023/11/01, 08:44:36,    1698839076554,--Not Acquired--     ,--Not Acquired--     ,   512.15,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    18.7693,     0.9798,     96.47,    308.44,    0.6872,    239.14,    0.0720,    0.3695,       957,    0.5125,      2437,    0.1180,     15384,     0.578,     13.35,   0.00000,      1.48,    198.79,    294.18,
C:\LIFT\DATA\PICO\PICO_202311010843_MiSa2019_445_250_data.csv , 2023/11/01, 08:44:47,    1698839087489,--Not Acquired--     ,--Not Acquired--     ,   552.12,     0.0000,      0.0000,  NO DATA,    '10000,    160.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    28.2924,     0.9764,    322.80,    408.74,    0.2103,    213.84,    0.0000,    0.3730,      1065,    0.4649,      2598,    0.1622,     31912,     0.155,     24.08,   0.00000,      1.29,    114.54,    147.51,
