----,
DateTime:        , 2023/11/01, 08:49:33, 1698839372822,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,          517.88,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      99,     100,     227,
Lamps:,        #10000,
Gain:,             25,      10, 
SNR_raw:,    1238.76,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,     97.336,
    1,        0.8,    256.551,     102.296,    104.671,
    2,        3.3,    273.471,     111.399,    112.749,
    3,        5.8,    273.583,     119.935,    120.971,
    4,        8.3,    273.659,     127.795,    129.206,
    5,       10.8,    273.809,     135.906,    137.356,
    6,       13.3,    273.997,     143.667,    145.348,
    7,       15.8,    274.147,     151.744,    153.129,
    8,       18.3,    274.448,     159.667,    160.662,
    9,       20.8,    274.523,     166.981,    167.918,
   10,       23.3,    274.599,     174.860,    174.881,
   11,       25.8,    274.862,     181.925,    181.544,
   12,       28.3,    274.711,     188.941,    187.901,
   13,       30.8,    274.711,     195.086,    193.954,
   14,       33.3,    274.824,     200.828,    199.708,
   15,       35.8,    274.862,     206.287,    205.169,
   16,       38.3,    274.862,     211.787,    210.346,
   17,       40.8,    274.711,     217.160,    215.248,
   18,       43.3,    274.862,     221.974,    219.886,
   19,       45.8,    274.787,     226.359,    224.271,
   20,       48.3,    275.050,     230.447,    228.414,
   21,       50.8,    275.313,     234.018,    232.325,
   22,       53.3,    274.899,     237.892,    236.021,
   23,       55.8,    275.050,     241.354,    239.507,
   24,       58.3,    275.087,     244.462,    242.795,
   25,       60.8,    275.200,     247.370,    245.895,
   26,       63.3,    275.200,     250.030,    248.819,
   27,       65.8,    275.238,     252.772,    251.575,
   28,       68.3,    275.012,     255.044,    254.175,
   29,       70.8,    275.275,     257.184,    256.623,
