Source DataFile                                          ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,        Fo,        Fm,     Fv/Fm,       Sig,         p,    Alp1QA,    Tau1QA,    Alp2QA,    Tau2QA,    Alp3QA,    Tau3QA,   alpCarQ,   tauCarQ,  alpP680Q,     Alpha,        Ek,      Pmax,
---------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,
C:\LIFT\DATA\PICO\PICO_202311010848_MiSa2019_44_data.csv , 2023/11/01, 08:49:33,    1698839372822,--Not Acquired--     ,--Not Acquired--     ,   517.88,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    49.6443,     0.9751,     97.34,    328.14,    0.7034,    212.88,    0.0000,    0.4134,      1101,    0.4161,      2269,    0.1704,     13074,     0.934,     11.19,   0.00000,      1.28,    215.03,    275.67,
C:\LIFT\DATA\PICO\PICO_202311010848_MiSa2019_44_data.csv , 2023/11/01, 08:49:35,    1698839374794,--Not Acquired--     ,--Not Acquired--     ,   517.37,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    48.7589,     0.9763,     95.87,    328.54,    0.7082,    225.77,    0.0000,    0.3021,       879,    0.4686,      1958,    0.2294,     12237,     0.568,     20.41,   0.00000,      1.36,    184.37,    250.67,
C:\LIFT\DATA\PICO\PICO_202311010848_MiSa2019_44_data.csv , 2023/11/01, 08:49:45,    1698839385712,--Not Acquired--     ,--Not Acquired--     ,   520.72,     0.0000,      0.0000,  NO DATA,    '10000,     20.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    14.5728,     0.9780,    126.18,    312.93,    0.5968,    245.98,    0.0000,    0.4633,       972,    0.4368,      3046,    0.0999,     73206,     0.439,     18.10,   0.00000,      1.48,     74.22,    109.96,
C:\LIFT\DATA\PICO\PICO_202311010848_MiSa2019_44_data.csv , 2023/11/01, 08:49:47,    1698839387753,--Not Acquired--     ,--Not Acquired--     ,   518.94,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    20.8956,     0.9818,     97.80,    297.35,    0.6711,    251.36,    0.0830,    0.3750,       992,    0.5167,      2556,    0.1083,     17651,     0.627,     13.28,   0.00000,      1.56,    178.60,    279.15,
C:\LIFT\DATA\PICO\PICO_202311010848_MiSa2019_44_data.csv , 2023/11/01, 08:49:58,    1698839398696,--Not Acquired--     ,--Not Acquired--     ,   523.31,     0.0000,      0.0000,  NO DATA,    '10000,     40.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    43.2492,     0.9753,    154.80,    328.54,    0.5288,    228.30,    0.0000,    0.3464,       777,    0.5198,      2652,    0.1338,     85040,     0.296,     28.15,   0.00000,      1.37,     55.82,     76.75,
C:\LIFT\DATA\PICO\PICO_202311010848_MiSa2019_44_data.csv , 2023/11/01, 08:50:00,    1698839400704,--Not Acquired--     ,--Not Acquired--     ,   518.47,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    20.5055,     0.9814,     96.69,    296.97,    0.6744,    247.77,    0.0800,    0.3675,       974,    0.5155,      2528,    0.1170,     16686,     0.541,     16.00,   0.00000,      1.54,    180.90,    278.34,
C:\LIFT\DATA\PICO\PICO_202311010848_MiSa2019_44_data.csv , 2023/11/01, 08:50:11,    1698839411646,--Not Acquired--     ,--Not Acquired--     ,   534.18,     0.0000,      0.0000,  NO DATA,    '10000,     80.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    69.0067,     0.9748,    258.02,    378.88,    0.3190,    213.44,    0.0000,    0.2851,       760,    0.5263,      2500,    0.1886,     46503,     0.217,     28.11,   0.00000,      1.29,     75.51,     97.06,
C:\LIFT\DATA\PICO\PICO_202311010848_MiSa2019_44_data.csv , 2023/11/01, 08:50:13,    1698839413670,--Not Acquired--     ,--Not Acquired--     ,   518.28,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    21.8601,     0.9785,     96.01,    306.79,    0.6870,    240.43,    0.0170,    0.3648,       943,    0.5072,      2422,    0.1280,     15390,     0.611,     15.27,   0.00000,      1.46,    193.97,    282.63,
C:\LIFT\DATA\PICO\PICO_202311010848_MiSa2019_44_data.csv , 2023/11/01, 08:50:24,    1698839424639,--Not Acquired--     ,--Not Acquired--     ,   557.69,     0.0000,      0.0000,  NO DATA,    '10000,    160.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    37.6368,     0.9799,    329.54,    407.44,    0.1912,    224.16,    0.0000,    0.2915,      1123,    0.5421,      2518,    0.1664,     31508,     0.232,     19.09,   0.00000,      1.35,    106.84,    144.23,
